name	patrM	patrF
Феоктист	Феоктистович	Феоктистовна
Феопемпт	Феопемптович	Феопемптовна
Феофан	Феофанович	Феофановна
Феофил	Феофилович	Феофиловна
Феофилакт	Феофилактович	Феофилактовна
Ферапонт	Ферапонтович	Ферапонтовна
Филарет	Филаретович	Филаретовна
Филат	Филатович	Филатовна
Филимон	Филимонович	Филимоновна
Филипий	Филипиевич|Филипьевич	Филипиевна|Филипьевна
Филипп	Филиппович	Филипповна
Филофей	Филофеевич	Филофеевна
Фирс	Фирсович	Фирсовна
Флегонт	Флегонтович	Флегонтовна
Флорентий	Флорентиевич|Флорентьевич	Флорентиевна|Флорентьевна
Флорентин	Флорентинович	Флорентиновна
Флориан	Флорианович	Флориановна
Фока	Фокич	Фокична
Фома	Фомич	Фоминична
Фортунат	Фортунатович	Фортунатовна
Фотий	Фотиевич|Фотьевич	Фотиевна|Фотьевна
Фридрих	Фридрихович	Фридриховна
Фрол	Фролович	Фроловна
Харитон	Харитонович	Харитоновна
Харитоний	Харитониевич|Харитоньевич	Харитониевна|Харитоньевна
Харлам	Харламович	Харламовна
Харламп	Харлампович	Харламповна
Харлампий	Харлампиевич|Харлампьевич	Харлампиевна|Харлампьевна
Хрисанф	Хрисанфович	Хрисанфовна
Христофор	Христофорович	Христофоровна
Эдуард	Эдуардович	Эдуардовна
Эмилий	Эмилиевич|Эмильевич	Эмилиевна|Эмильевна
Эмиль	Эмильевич	Эмильевна
Эммануил	Эммануилович	Эммануиловна
Эразм	Эразмович	Эразмовна
Эраст	Эрастович	Эрастовна
Эрнест	Эрнестович	Эрнестовна
Эрнст	Эрнстович	Эрнстовна
Ювеналий	Ювеналиевич|Ювенальевич	Ювеналиевна|Ювенальевна
Юлиан	Юлианович	Юлиановна
Юлий	Юлиевич|Юльевич	Юлиевна|Юльевна
Юрий	Юрьевич	Юрьевна
Юстин	Юстинович	Юстиновна
Яким	Якимович	Якимовна
Яков	Яковлевич	Яковлевна
Якуб	Якубович	Якубовна
Ян	Янович	Яновна
Януарий	Януариевич|Януарьевич	Януариевна|Януарьевна
Ярополк	Ярополкович	Ярополковна
Ярослав	Ярославович|Ярославич	Ярославовна|Ярославна
